U5a3f,娿,啊
U9813,頓,顿
U6c8c,沌,钝
U54c6,哆,多
U596a,奪,夺
U8eb1,躱,躲
U6736,朶,朵
U5aa0,媠,惰
U619c,憜,堕
U774b,睋,蛾
U774b,睋,峨
U7692,皒,俄
U7692,皒,娥
U60aa,悪,恶
U82ca,苊,厄
U7692,皒,饿
U6141,慁,恩
U6d0f,洏,而
U30eb,ル,儿
U6d31,洱,耳
U5c12,尒,尔
U8076,聶,饵
U2461,②,二
U6f51,潑,发
U85c5,藅,罚
U6d4c,浌,伐
U75ba,疺,乏
U743a,琺,法
U6c4e,汎,帆
U7568,畨,番
U98dc,飜,翻
U703f,瀿,繁
U6c4e,汎,凡
U7169,煩,烦
U7b35,笵,范
U6c3e,氾,犯
U7c84,粄,饭
U75ba,疺,泛
U6c78,汸,坊
U6dd3,淓,芳
U6c78,汸,方
U6c78,汸,防
U6c78,汸,仿
U6c78,汸,访
U6c78,汸,纺
U5023,倣,放
U5a54,婔,菲
U60b1,悱,非
U98db,飛,飞
U8409,萉,肥
U539e,厞,匪
U8153,腓,肺
U5ee2,廢,废
U66ca,曊,费
U68fc,棼,芬
U73a2,玢,吩
U6c7e,汾,分
U59a2,妢,纷
U58b3,墳,坟
U5e09,帉,粉
U596e,奮,奋
U59a2,妢,份
U6fc6,濆,愤
U4ef9,仹,丰
U5d36,崶,封
U7326,猦,枫
U5cef,峯,峰
U5cef,峯,锋
U98a9,颩,风
U760b,瘋,疯
U6f28,漨,逢
U6ea4,溤,冯
U6f28,漨,缝
U552a,唪,奉
U9cef,鳯,凤
U4ecf,仏,佛
U5a1d,娝,否
U739e,玞,夫
U819a,膚,肤
U8374,荴,扶
U8ae8,諨,幅
U82fb,苻,符
U832f,茯,伏
U68f4,棴,服
U634a,捊,浮
U6e62,湢,福
U6928,椨,俯
U91e1,釡,斧
U6928,椨,府
U8ae8,諨,副
U8ce6,賦,赋
U5fa9,復,复
U82fb,苻,付
U842f,萯,负
U51a8,冨,富
U80d5,胕,附
U55c4,嗄,嘎
U59df,姟,该
U5980,妀,改
U6f11,漑,概
U9223,鈣,钙
U8462,葢,盖
U6f11,漑,溉
U8fc0,迀,干
U82f7,苷,甘
U8289,芉,竿
U8fc0,迀,赶
U61be,憾,感
U5649,噉,敢
U7f53,罓,冈
U7899,碙,刚
U92fc,鋼,钢
U77fc,矼,缸
U91ed,釭,肛
U7f41,罁,纲
U7f53,罓,岗
U91ed,釭,杠
U799e,禞,篙
U6ec8,滈,高
U993b,餻,羔
U6e94,溔,糕
U93ac,鎬,搞
U93ac,鎬,镐
U93ac,鎬,稿
U54e0,哠,告
U6ed2,滒,哥
U6228,戨,歌
U64f1,擱,搁
U5268,剨,割
U6105,愅,革
U5676,噶,葛
U54af,咯,格
U500b,個,个
U8316,茖,各
U826e,艮,根
U831b,茛,跟
U754a,畊,耕
U6d6d,浭,更
U83ee,菮,庚
U7b01,笁,工
U7cfc,糼,攻
U7cfc,糼,功
U5868,塨,恭
U6831,栱,供
U5311,匑,躬
U53b7,厷,公
U55b6,営,宫
U5f16,弖,弓
U73d9,珙,拱
U8ca2,貢,贡
U73d9,珙,共
U6e9d,溝,钩
U82b6,芶,勾
U82b6,芶,沟
U8c5e,豞,狗
U5abe,媾,构
U5abe,媾,购
U5920,夠,够
U8bc2,诂,估
U94b4,钴,沽
U7b9b,箛,孤
U83c7,菇,姑
U9f14,鼔,鼓
U5495,咕,古
U55d7,嗗,骨
U5502,唂,谷
U9ab0,骰,股
U8bc2,诂,故
U9867,顧,顾
U51c5,凅,固
U526e,剮,刮
U5471,呱,瓜
U526e,剮,剐
U5569,啩,挂
U5569,啩,褂
U67b4,枴,拐
U83c5,菅,棺
U95a2,関,关
U83c5,菅,官
U8484,蒄,冠
U89c0,觀,观
U6dab,涫,管
U83c5,菅,馆
U6f45,潅,罐
U9066,遦,惯
U6f45,潅,灌
U9066,遦,贯
U6d38,洸,光
U5e83,広,广
U8fcb,迋,逛
U898f,規,规
U6b78,歸,归
U4e80,亀,龟
U95a8,閨,闺
U5326,匦,轨
U5abf,媿,鬼
U8a6d,詭,诡
U84d5,蓕,桂
U5331,匱,柜
U86eb,蛫,跪
U8cb4,貴,贵
U8509,蔉,滚
U8f25,輥,棍
U7171,煱,锅
U6f37,漷,郭
U570b,國,国
U6dc9,淉,果
U904e,過,过
U94ea,铪,哈
U9654,陔,孩
U55e8,嗨,海
U55d0,嗐,害
U97d3,韓,韩
U6d5b,浛,含
U51fe,凾,涵
U51fe,凾,函
U8af4,諴,喊
U7677,癷,罕
U7302,猂,旱
U7302,猂,焊
U6c59,汙,汗
U6f22,漢,汉
U5ffc,忼,杭
U6fe0,濠,豪
U604f,恏,好
U79cf,秏,耗
U547a,呺,号
U6ed8,滘,浩
U54ec,哬,呵
U66f7,曷,喝
U55ec,嗬,荷
U52be,劾,核
U79dd,秝,禾
U555d,啝,和
U54ec,哬,何
U533c,匼,合
U76c9,盉,盒
U83cf,菏,河
U54ff,哿,贺
U6f76,潶,嘿
U5afc,嫼,黑
U4f77,佷,很
U54cf,哏,狠
U60a2,悢,恨
U6da5,涥,哼
U6099,悙,亨
U6a6b,橫,横
U8605,蘅,衡
U6046,恆,恒
U8f5f,轟,轰
U664e,晎,哄
U6e31,渱,虹
U9d3b,鴻,鸿
U8453,葓,洪
U5b96,宖,宏
U5b96,宖,弘
U8452,葒,红
U7cc7,糇,喉
U7cc7,糇,侯
U7cc7,糇,猴
U72bc,犼,吼
U7cc7,糇,候
U5f8c,後,后
U82f8,苸,呼
U82f8,苸,乎
U553f,唿,忽
U58fa,壺,壶
U7173,煳,葫
U7bb6,箶,胡
U7bb6,箶,蝴
U7173,煳,糊
U7173,煳,湖
U552c,唬,虎
U6236,戶,护
U6c8d,沍,互
U6236,戶,沪
U6236,戶,户
U57d6,埖,花
U8550,蕐,哗
U6f95,澕,华
U78c6,磆,猾
U78c6,磆,滑
U7575,畵,画
U5283,劃,划
U56ee,囮,化
U8a71,話,话
U4f6a,佪,徊
U61f7,懷,怀
U51c6,准,淮
U58de,壞,坏
U6b61,歡,欢
U5bf0,寰,环
U9084,還,还
U7de9,緩,缓
U63db,換,换
U6f36,漶,患
U559a,喚,唤
U629d,抝,幻
U5ddf,巟,荒
U5ddf,巟,慌
U66c2,曂,黄
U745d,瑝,皇
U745d,瑝,凰
U745d,瑝,惶
U745d,瑝,煌
U6130,愰,晃
U7e28,縨,幌
U5ddf,巟,谎
U6d03,洃,灰
U5a88,媈,挥
U5a88,媈,辉
U5e51,幑,徽
U518b,冋,回
U6bc7,毇,毁
U73fb,珻,悔
U73fb,珻,晦
U6d4d,浍,会
U532f,匯,汇
U6d4d,浍,绘
U6dbd,涽,昏
U6b99,殙,婚
U6e3e,渾,浑
U5a6b,婫,混
U843f,萿,活
U94ac,钬,伙
U7131,焱,火
U956c,镬,获
U6213,戓,或
U9743,靃,霍
U8ca8,貨,货
U798d,禍,祸
U6a2d,樭,基
U50df,僟,机
U7a4d,積,积
U566d,噭,激
U9d8f,鶏,鸡
U54ad,咭,吉
U6f57,潗,集
U5f76,彶,及
U55bc,喼,急
U65e3,旣,即
U54dc,哜,挤
U51e2,凢,几
U60b8,悸,季
U54dc,哜,济
U8a08,計,计
U6c5c,汜,记
U65e3,旣,既
U6f08,漈,际
U6c5c,汜,纪
U593e,夾,夹
U50a2,傢,家
U5496,咖,加
U66f1,曱,甲
U5fa6,徦,假
U7cd8,糘,稼
U50f9,價,价
U6cc7,泇,架
U99d5,駕,驾
U7cd8,糘,嫁
U59e7,姧,歼
U76ec,盬,监
U5805,堅,坚
U7c21,簡,间
U51f2,凲,兼
U5977,奷,奸
U64bf,撿,检
U64bf,撿,捡
U5f45,彅,简
U5039,倹,俭
U5f45,彅,剪
U8af4,諴,减
U85a6,薦,荐
U6ffa,濺,贱
U898b,見,见
U6957,楗,键
U63f5,揵,健
U528d,劍,剑
U8e3a,踺,建
U58c3,壃,僵
U8441,葁,姜
U5c07,將,将
U69f3,槳,浆
U8333,茳,江
U5f4a,彊,疆
U8523,蔣,蒋
U5968,奨,奖
U8b1b,講,讲
U91ac,醬,酱
U5905,夅,降
U6f50,潐,焦
U70c4,烄,胶
U832d,茭,交
U5b0c,嬌,骄
U5b0c,嬌,娇
U8173,腳,脚
U70c4,烄,狡
U510c,儌,缴
U70c4,烄,绞
U560b,嘋,教
U73d3,珓,较
U5602,嘂,叫
U5e39,帹,接
U6e5d,湝,皆
U516f,兯,节
U8396,莖,茎
U8059,聙,睛
U7790,瞐,晶
U9be8,鯨,鲸
U501e,倞,京
U9a5a,驚,惊
U68c8,棈,精
U7d93,經,经
U4e3c,丼,井
U6aa0,檠,警
U61ac,憬,景
U9838,頸,颈
U975c,靜,静
U7484,璄,境
U64cf,擏,敬
U50b9,傹,镜
U5f91,徑,径
U734d,獍,竟
U7af6,競,竞
U51c8,凈,净
U6cc2,泂,炯
U50d2,僒,窘
U557e,啾,揪
U7cfe,糾,纠
U7396,玖,久
U52fc,勼,九
U6c3f,氿,酒
U6166,慦,救
U820a,舊,旧
U50e6,僦,就
U548e,咎,疚
U4f5d,佝,拘
U5287,劇,居
U530a,匊,菊
U6336,挶,局
U6007,怇,矩
U8209,舉,举
U85c2,藂,聚
U5ca0,岠,拒
U741a,琚,据
U59d6,姖,巨
U5036,倶,具
U5ca0,岠,距
U6dba,涺,锯
U5036,倶,俱
U5474,呴,句
U5ca0,岠,炬
U6dba,涺,剧
U6d93,涓,捐
U9d51,鵑,鹃
U6d93,涓,娟
U60d3,惓,倦
U6372,捲,卷
U6d93,涓,绢
U761a,瘚,撅
U6c7a,決,抉
U5d1b,崛,掘
U5d1b,崛,倔
U56bc,嚼,爵
U5091,傑,杰
U5551,啑,捷
U7d50,結,结
U6088,悈,戒
U9385,鎅,界
U5fa3,徣,借
U5930,夰,介
U5c46,屆,届
U51e7,凧,巾
U8355,荕,筋
U91ff,釿,斤
U552b,唫,金
U5997,妗,今
U73d2,珒,津
U5664,噤,襟
U7dca,緊,紧
U5a42,婂,锦
U50c5,僅,仅
U6ba3,殣,谨
U740e,琎,进
U6649,晉,晋
U5664,噤,禁
U83e6,菦,近
U9513,锓,浸
U6d55,浕,尽
U52c1,勁,劲
U834a,荊,荆
U89ba,覺,觉
U5437,吷,决
U5437,吷,诀
U855d,蕝,绝
U6c6e,汮,均
U7b98,箘,菌
U5441,呁,钧
U8ecd,軍,军
U7104,焄,君
U6d5a,浚,峻
U6d5a,浚,俊
U6d5a,浚,竣
U6d5a,浚,骏
U9272,鉲,卡
U959e,閞,开
U63e9,揩,楷
U5240,剀,凯
U520b,刋,刊
U6b43,歃,砍
U5add,嫝,康
U5d7b,嵻,慷
U5d7b,嵻,糠
U6443,摃,扛
U5ffc,忼,抗
U56e5,囥,亢
U5ffc,忼,炕
U6832,栲,考
U6d18,洘,拷
U6832,栲,烤
U5ca2,岢,苛
U9301,錁,棵
U6e98,溘,磕
U9301,錁,颗
U842a,萪,科
U6d9c,涜,壳
U55d1,嗑,咳
U59b8,妸,可
U6e07,渇,渴
U5c05,尅,克
U5c05,尅,刻
U6119,愙,客
U9301,錁,课
U80bb,肻,肯
U80bb,肻,啃
U6073,恳,垦
U57a6,垦,恳
U5994,妔,坑
U5994,妔,吭
U6db3,涳,空
U82a4,芤,孔
U554c,啌,控
U6473,摳,抠
U56d7,囗,口
U91e6,釦,扣
U7c06,簆,寇
U5596,喖,枯
U5d2b,崫,窟
U695b,楛,苦
U5399,厙,库
U8932,褲,裤
U6d3f,洿,夸
U8d7d,赽,块
U8d7d,赽,快
U5bec,寬,宽
U7abe,窾,款
U7b7a,筺,筐
U8a91,誑,狂
U7ea9,纩,矿
U6d2d,洭,眶
U7ea9,纩,旷
U6cc1,況,况
U625d,扝,亏
U7aba,窺,窥
U55b9,喹,奎
U6f70,潰,馈
U9697,隗,愧
U6f70,潰,溃
U5812,堒,坤
U5d10,崐,昆
U6d83,涃,捆
U6d83,涃,困
U8440,葀,括
U62e1,拡,扩
U9729,霩,廓
U95ca,闊,阔
U67c6,柆,垃
U83c8,菈,拉
U81d8,臘,蜡
U81d8,臘,腊
U83c8,菈,啦
U553b,唻,来
U650b,攋,赖
U85cd,藍,蓝
U6f24,漤,婪
U5b44,孄,栏
U85cd,藍,篮
U862d,蘭,兰
U703e,瀾,澜
U7060,灠,揽
U7060,灠,览
U650b,攋,懒
U7060,灠,缆
U7061,灡,烂
U5682,嚂,滥
U54f4,哴,琅
U84c8,蓈,榔
U54f4,哴,狼
U84e2,蓢,廊
U84e2,蓢,郎
U84e2,蓢,朗
U70fa,烺,浪
U5d02,崂,捞
U5d02,崂,劳
U7a82,窂,牢
U8356,荖,老
U7ca9,粩,姥
U7d61,絡,酪
U7d61,絡,烙
U5d02,崂,涝
U561e,嘞,勒
U6cfa,泺,乐
U6a91,檑,雷
U6a91,檑,镭
U6a91,檑,蕾
U85de,藞,磊
U8502,蔂,累
U6a91,檑,擂
U53fb,叻,肋
U985e,類,类
U6c68,汨,泪
U5525,唥,冷
U60a1,悡,梨
U84e0,蓠,离
U5a6f,婯,丽
U75a0,疠,厉
U5456,呖,历
U60a1,悡,利
U550e,唎,例
U7add,竝,立
U52a6,劦,力
U5521,唡,俩
U8045,聅,联
U55f9,嗹,莲
U6d9f,涟,连
U6190,憐,怜
U6f4b,潋,敛
U81c9,臉,脸
U55f9,嗹,链
U6200,戀,恋
U7149,煉,炼
U7149,煉,练
U60a2,悢,粮
U6dbc,涼,凉
U6a11,樑,梁
U60a2,悢,良
U5006,倆,两
U5521,唡,辆
U7ce7,糧,量
U6dbc,涼,晾
U7177,煷,亮
U6dbc,涼,谅
U5afd,嫽,撩
U7ab7,窷,聊
U7360,獠,僚
U7642,療,疗
U7360,獠,燎
U5b52,孒,了
U6f3b,漻,廖
U70ee,烮,列
U716d,煭,裂
U70ee,烮,烈
U6318,挘,劣
U7375,獵,猎
U5549,啉,琳
U5549,啉,林
U6f7e,潾,磷
U81e8,臨,临
U9130,鄰,邻
U6f7e,潾,鳞
U5549,啉,淋
U8cc3,賃,赁
U608b,悋,吝
U67c3,柃,拎
U73aa,玪,玲
U590c,夌,菱
U8576,蕶,零
U9f61,齡,龄
U73aa,玪,铃
U73aa,玪,羚
U590c,夌,凌
U9748,靈,灵
U590c,夌,陵
U73aa,玪,岭
U9818,領,领
U53e7,叧,另
U6ce0,泠,令
U5ab9,媹,溜
U5ab9,媹,榴
U7571,畱,留
U56a0,嚠,刘
U5ab9,媹,瘤
U84c5,蓅,流
U6801,栁,柳
U9678,陸,六
U7027,瀧,龙
U807e,聾,聋
U830f,茏,咙
U830f,茏,笼
U6e70,湰,隆
U6cf7,泷,垄
U6cf7,泷,拢
U830f,茏,陇
U6e87,溇,楼
U6e87,溇,娄
U5d5d,嵝,搂
U6e87,溇,篓
U5c5a,屚,漏
U5eec,廬,芦
U76e7,盧,卢
U5eec,廬,庐
U7210,爐,炉
U565c,噜,鲁
U8557,蕗,露
U8557,蕗,路
U850d,蔍,鹿
U6de5,淥,录
U9678,陸,陆
U99bf,馿,驴
U7112,焒,吕
U7112,焒,铝
U4f40,佀,侣
U8182,膂,旅
U5c62,屢,屡
U616e,慮,虑
U4f93,侓,律
U535b,卛,率
U616e,慮,滤
U6de5,淥,绿
U6b12,欒,峦
U5b4c,孌,挛
U5b7f,孿,孪
U4e82,亂,乱
U7a24,稤,掠
U7567,畧,略
U56f5,囵,抡
U56f5,囵,轮
U56f5,囵,伦
U56f5,囵,沦
U56f5,囵,论
U56c9,囉,萝
U56c9,囉,罗
U7f85,羅,逻
U56c9,囉,锣
U5138,儸,箩
U8a7b,詻,洛
U8a7b,詻,骆
U7d61,絡,络
U5abd,媽,妈
U5af2,嫲,麻
U72b8,犸,玛
U72b8,犸,码
U72b8,犸,蚂
U9a89,骉,马
U7f75,罵,骂
U5af2,嫲,嘛
U5b24,嬤,吗
U836c,荬,买
U9ea5,麥,麦
U8ce3,賣,卖
U9081,邁,迈
U9721,霡,脉
U6172,慲,瞒
U734c,獌,馒
U883b,蠻,蛮
U6172,慲,满
U5ada,嫚,蔓
U5ada,嫚,曼
U5ada,嫚,慢
U5ada,嫚,漫
U7b00,笀,芒
U6c52,汒,茫
U5402,吂,盲
U6767,杧,忙
U6f2d,漭,莽
U8c93,貓,猫
U7f5e,罞,茅
U6bdd,毝,毛
U7f5e,罞,矛
U8306,茆,卯
U843a,萺,冒
U843a,萺,帽
U9088,邈,貌
U8cbf,貿,贸
U5e85,庅,么
U5746,坆,玫
U70f8,烸,梅
U82fa,苺,霉
U6e48,湈,煤
U8388,莈,没
U847f,葿,眉
U70f8,烸,每
U7f99,羙,美
U59ba,妺,妹
U9584,閄,门
U60b6,悶,闷
U5011,們,们
U8420,萠,萌
U61de,懞,蒙
U64dd,擝,盟
U63b9,掹,猛
U5922,夢,梦
U63b9,掹,孟
U4f8e,侎,眯
U6d23,洣,迷
U6d23,洣,谜
U6d23,洣,米
U6ef5,滵,蜜
U6ef5,滵,密
U5a42,婂,棉
U5a42,婂,绵
U51c2,凂,免
U5a94,媔,面
U5a8c,媌,苗
U5a8c,媌,描
U5a8c,媌,瞄
U9088,邈,藐
U4eef,仯,秒
U7df2,緲,渺
U5ebf,庿,庙
U4eef,仯,妙
U7bfe,篾,蔑
U6423,搣,灭
U59c4,姄,民
U52c4,勄,敏
U95a9,閩,闽
U7700,眀,明
U5604,嘄,鸣
U4f72,佲,铭
U6d3a,洺,名
U63b5,掵,命
U7e46,繆,谬
U55fc,嗼,摸
U56a4,嚤,蘑
U55fc,嗼,模
U55fc,嗼,膜
U56a4,嚤,磨
U56a4,嚤,摩
U56a4,嚤,魔
U6cac,沬,抹
U6cac,沬,末
U55fc,嗼,莫
U569c,嚜,墨
U6cac,沬,沫
U55fc,嗼,漠
U5e1e,帞,陌
U6e48,湈,谋
U54de,哞,牟
U6e48,湈,某
U755d,畝,亩
U6bcb,毋,母
U52df,募,墓
U52df,募,幕
U6729,朩,木
U6729,朩,目
U55f1,嗱,拿
U59a0,妠,呐
U59a0,妠,钠
U54ea,哪,那
U54ea,哪,娜
U59a0,妠,纳
U91e2,釢,乃
U827f,艿,奶
U6067,恧,耐
U67f0,柰,奈
U9056,遖,南
U83ae,莮,男
U96e3,難,难
U7062,灢,囊
U6493,撓,挠
U60a9,悩,脑
U60a9,悩,恼
U9599,閙,闹
U8fe1,迡,呢
U6d7d,浽,馁
U79b8,禸,内
U5af0,嫰,嫩
U6de3,淣,倪
U72d4,狔,泥
U80d2,胒,尼
U62b3,抳,拟
U6cb5,沵,你
U5adf,嫟,匿
U81a9,膩,腻
U5c70,屰,逆
U79e5,秥,拈
U59e9,姩,年
U6df0,淰,念
U8311,茑,鸟
U6758,杘,尿
U6d85,涅,捏
U55eb,嗫,聂
U7cf5,糵,孽
U55eb,嗫,镊
U82e7,苧,宁
U7287,犇,牛
U6c91,沑,扭
U599e,妞,钮
U72c3,狃,纽
U54dd,哝,脓
U54dd,哝,浓
U54dd,哝,农
U6335,挵,弄
U4f2e,伮,奴
U6013,怓,努
U4f2e,伮,怒
U56e1,囡,女
U7156,煖,暖
U759f,疟,虐
U7a64,穤,懦
U7a64,穤,糯
U558f,喏,诺
U5443,呃,哦
U74ef,瓯,欧
U74ef,瓯,鸥
U74ef,瓯,殴
U8026,耦,藕
